pair,count
"('pruning', 'scikit-learn')",2
"('graphs', 'statistics')",2
"('pipelines', 'tensorflow')",2
"('unsupervised-learning', 'variance')",2
"('rag', 'vector-database')",2
"('embeddings', 'manifold')",2
"('machine-learning-model', 'vc-theory')",2
"('linear-regression', 'sentiment-analysis')",2
"('image-recognition', 'multiclass-classification')",2
"('image', 'ocr')",2
"('bert', 'normalization')",2
"('normalization', 'pytorch')",2
"('bias', 'missing-data')",2
"('nvidia', 'transformer')",2
"('embeddings', 'visualization')",2
"('linear-regression', 'transformation')",2
"('parallel', 'python')",2
"('batch-normalization', 'dropout')",2
"('gensim', 'search-engine')",2
"('analysis', 'data-analysis')",2
"('metadata', 'regression')",2
"('regression', 'sparse')",2
"('activation-function', 'weight-initialization')",2
"('logarithmic', 'python')",2
"('convolutional-neural-network', 'model-evaluations')",2
"('binary', 'pytorch')",2
"('deep-learning', 'probability-calibration')",2
"('image-classification', 'labelling')",2
"('binary-classification', 'feature-extraction')",2
"('huggingface', 'parameter')",2
"('imbalanced-data', 'oversampling')",2
"('oversampling', 'smotenc')",2
"('data-cleaning', 'logistic-regression')",2
"('data-cleaning', 'target-encoding')",2
"('feature-engineering', 'target-encoding')",2
"('naive-bayes-classifier', 'tfidf')",2
"('early-stopping', 'machine-learning')",2
"('smote', 'xgboost')",2
"('data-analysis', 'decision-trees')",2
"('beginner', 'deep-learning')",2
"('dataset', 'linearly-separable')",2
"('nvidia', 'tensorflow')",2
"('knowledge-base', 'python')",2
"('rnn', 'word2vec')",2
"('language-model', 'text-generation')",2
"('mnist', 'scikit-learn')",2
"('fasttext', 'ngrams')",2
"('manifold', 'visualization')",2
"('nlp', 'object-detection')",2
"('data-science-model', 'generative-models')",2
"('etl', 'sql')",2
"('preprocessing', 'sentiment-analysis')",2
"('data-science-model', 'linear-algebra')",2
"('accuracy', 'r')",2
"('preprocessing', 'visualization')",2
"('k-means', 'regression')",2
"('data-mining', 'geospatial')",2
"('boosting', 'categorical-data')",2
"('cosine-distance', 'pandas')",2
"('api', 'llm')",2
"('api', 'r')",2
"('data-cleaning', 'geospatial')",2
"('data-cleaning', 'text-mining')",2
"('artificial-intelligence', 'data-science-model')",2
"('feature-selection', 'gradient-descent')",2
"('anaconda', 'cuda')",2
"('python', 'version-control')",2
"('feature-engineering', 'overfitting')",2
"('labelling', 'training')",2
"('scikit-learn', 'sgd')",2
"('data-mining', 'social-network-analysis')",2
"('python', 'social-network-analysis')",2
"('algorithms', 'feature-extraction')",2
"('books', 'nlp')",2
"('data-mining', 'weka')",2
"('python-3.x', 'tokenization')",2
"('data-mining', 'pytorch')",2
"('image-preprocessing', 'machine-learning-model')",2
"('classification', 'objective-function')",2
"('loss', 'nlp')",2
"('pearsons-correlation-coefficient', 'similarity')",2
"('machine-learning-model', 'self-study')",2
"('geospatial', 'pandas')",2
"('derivation', 'loss-function')",2
"('k-means', 'linear-regression')",2
"('deep-learning', 'matplotlib')",2
"('prediction', 'sampling')",2
"('cosine-distance', 'numpy')",2
"('bert', 'correlation')",2
"('poisson', 'python')",2
"('machine-learning-model', 'retraining')",2
"('cosine-distance', 'k-means')",2
"('feature-selection', 'geospatial')",2
"('c', 'python')",2
"('terminology', 'time-series')",2
"('gradient-boosting-decision-trees', 'r')",2
"('gbm', 'natural-gradient-boosting')",2
"('performance', 'svm')",2
"('gaussian', 'noise')",2
"('features', 'random-forest')",2
"('fasttext', 'gensim')",2
"('inference', 'sequence-to-sequence')",2
"('yolo', 'yolov5')",2
"('metric', 'pandas')",2
"('features', 'stacking')",2
"('ensemble-modeling', 'model-selection')",2
"('convolutional-neural-network', 'loss')",2
"('binary-classification', 'distribution')",2
"('.net', 'machine-learning')",2
"('oversampling', 'predictive-modeling')",2
"('gru', 'neural-network')",2
"('bayesian-networks', 'graphical-model')",2
"('graphical-model', 'machine-learning')",2
"('computer-vision', 'model-selection')",2
"('bias', 'gradient-descent')",2
"('forecasting', 'geospatial')",2
"('feature-scaling', 'interpretation')",2
"('model-selection', 'question-answering')",2
"('auc', 'machine-learning-model')",2
"('actor-critic', 'pytorch')",2
"('binary', 'keras')",2
"('distribution', 'interpretation')",2
"('accuracy', 'hyperparameter')",2
"('feature-selection', 'keras')",2
"('ai', 'multiclass-classification')",2
"('language-model', 'multiclass-classification')",2
"('feature-scaling', 'standardization')",2
"('colab', 'python-3.x')",2
"('r', 'text-classification')",2
"('auc', 'multilabel-classification')",2
"('cnn', 'coursera')",2
"('class-imbalance', 'optimization')",2
"('categorical-encoding', 'multilabel-classification')",2
"('nlp', 'regularization')",2
"('coursera', 'deep-learning')",2
"('dataframe', 'tensorflow')",2
"('data-science-model', 'shap')",2
"('data', 'svm')",2
"('dataset', 'naive-bayes-classifier')",2
"('nlg', 'transformer')",2
"('llm', 'training')",2
"('api', 'twitter')",2
"('bias', 'dataset')",2
"('distribution', 'kernel')",2
"('model-evaluations', 'naive-bayes-classifier')",2
"('huggingface', 't5')",2
"('gradient-descent', 'matplotlib')",2
"('catboost', 'feature-engineering')",2
"('cnn', 'linear-regression')",2
"('cnn', 'weighted-data')",2
"('linear-regression', 'weighted-data')",2
"('neural-network', 'non-parametric')",2
"('statistics', 'vc-theory')",2
"('auc', 'validation')",2
"('image-classification', 'metric')",2
"('matplotlib', 'mini-batch-gradient-descent')",2
"('data-science-model', 'statsmodels')",2
"('dataset', 'pyspark')",2
"('similarity', 'text-mining')",2
"('aggregation', 'data-cleaning')",2
"('nosql', 'pandas')",2
"('anova', 'feature-selection')",2
"('cross-validation', 'interpretation')",2
"('forecasting', 'sparse')",2
"('mathematics', 'transformer')",2
"('probability-calibration', 'scikit-learn')",2
"('graph-neural-network', 'model-evaluations')",2
"('graph-neural-network', 'recommender-system')",2
"('data', 'transformer')",2
"('glm', 'statistics')",2
"('prediction', 'statsmodels')",2
"('feature-extraction', 'recommender-system')",2
"('multiclass-classification', 'recommender-system')",2
"('loss-function', 'one-hot-encoding')",2
"('overfitting', 'pipelines')",2
"('model-evaluations', 'probability-calibration')",2
"('python-3.x', 'text')",2
"('image-classification', 'k-means')",2
"('orange', 'visualization')",2
"('data-mining', 'overfitting')",2
"('image-classification', 'validation')",2
"('adaboost', 'data-science-model')",2
"('orange', 'preprocessing')",2
"('machine-learning', 'social-network-analysis')",2
"('classification', 'statsmodels')",2
"('image-segmentation', 'tools')",2
"('probability', 'programming')",2
"('dataset', 'vgg16')",2
"('finetuning', 'vgg16')",2
"('encoding', 'xgboost')",2
"('attention-mechanism', 'reinforcement-learning')",2
"('pytorch', 'word2vec')",2
"('activation-function', 'reinforcement-learning')",2
"('coursera', 'yolo')",2
"('gan', 'nlp')",2
"('interpretation', 'ridge-regression')",2
"('api', 'xgboost')",2
"('apache-hadoop', 'hive')",2
"('data-science-model', 'methodology')",2
"('information-retrieval', 'text-mining')",2
"('ai', 'data-cleaning')",2
"('data-analysis', 'data-product')",2
"('auc', 'matplotlib')",2
"('matrix', 'matrix-factorisation')",2
"('graphs', 'neo4j')",2
"('feature-engineering', 'feature-reduction')",2
"('feature-reduction', 'machine-learning')",2
"('feature-selection', 'kernel')",2
"('computer-vision', 'vae')",2
"('deep-learning', 'masking')",2
"('masking', 'neural-network')",2
"('deep-learning', 'interpretation')",2
"('binary', 'pattern-recognition')",2
"('gpt', 'training')",2
"('catboost', 'cross-validation')",2
"('grid-search', 'training')",2
"('boosting', 'mathematics')",2
"('data', 'variance')",2
"('nltk', 'tfidf')",2
"('nltk', 'word-embeddings')",2
"('cross-validation', 'kaggle')",2
"('computer-vision', 'information-extraction')",2
"('activation-function', 'visualization')",2
"('automatic-summarization', 'machine-learning')",2
"('mlp', 'mnist')",2
"('perceptron', 'scikit-learn')",2
"('huggingface', 'nlg')",2
"('hyperparameter-tuning', 'k-nn')",2
"('categorical-data', 'nlp')",2
"('categorical-data', 'text')",2
"('data-science-model', 'marketing')",2
"('regression', 'uncertainty')",2
"('class-imbalance', 'grid-search')",2
"('chatgpt', 'nlp')",2
"('anaconda', 'spyder')",2
"('k-means', 'text')",2
"('data-leakage', 'pandas')",2
"('churn', 'predictive-modeling')",2
"('classification', 'encoding')",2
"('clustering', 'distribution')",2
"('clustering', 'variance')",2
"('classification', 'predict')",2
"('bag-of-words', 'machine-learning')",2
"('programming', 'python')",2
"('image-preprocessing', 'pandas')",2
"('generalization', 'random-forest')",2
"('descriptive-statistics', 'mathematics')",2
"('descriptive-statistics', 'regression')",2
"('logistic-regression', 'sentiment-analysis')",2
"('lime', 'python')",2
"('bigdata', 'data-science-model')",2
"('data-mining', 'structured-data')",2
"('epochs', 'gradient-descent')",2
"('gradient-descent', 'training')",2
"('mnist', 'vae')",2
"('data-cleaning', 'labels')",2
"('labelling', 'preprocessing')",2
"('association-rules', 'data-science-model')",2
"('confidence', 'data-science-model')",2
"('regression', 'softmax')",2
"('search-engine', 'word-embeddings')",2
"('machine-learning', 'software-development')",2
"('imbalanced-learn', 'orange')",2
"('sequence', 'tensorflow')",2
"('data-augmentation', 'python-3.x')",2
"('backpropagation', 'cost-function')",2
"('data', 'privacy')",2
"('dataset', 'reinforcement-learning')",2
"('bioinformatics', 'dataset')",2
"('semantic-similarity', 'tfidf')",2
"('spacy', 'training')",2
"('random-forest', 'rmse')",2
"('generative-models', 'mnist')",2
"('data', 'named-entity-recognition')",2
"('beginner', 'random-forest')",2
"('cnn', 'confusion-matrix')",2
"('convolutional-neural-network', 'text-classification')",2
"('aws', 'machine-learning-model')",2
"('jupyter', 'mnist')",2
"('convolutional-neural-network', 'data-cleaning')",2
"('reinforcement-learning', 'representation')",2
"('algorithms', 'training')",2
"('hyperparameter-tuning', 'transformer')",2
"('autoencoder', 'binary')",2
"('autoencoder', 'cross-validation')",2
"('machine-translation', 'text-classification')",2
"('pipelines', 'regression')",2
"('classification', 'dataframe')",2
"('image', 'image-recognition')",2
"('image', 'pandas')",2
"('dataframe', 'json')",2
"('overfitting', 'performance')",2
"('ranking', 'regression')",2
"('clustering', 'matrix')",2
"('hyperparameter', 'learning-rate')",2
"('convolutional-neural-network', 'gnn')",2
"('convolutional-neural-network', 'graphs')",2
"('doc2vec', 'embeddings')",2
"('data-cleaning', 'k-nn')",2
"('mathematics', 'training')",2
"('deep-learning', 'survival-analysis')",2
"('regression', 'survival-analysis')",2
"('image-preprocessing', 'scikit-learn')",2
"('dataset', 'probability')",2
"('information-retrieval', 'python')",2
"('automl', 'classification')",2
"('google-cloud', 'python')",2
"('image-recognition', 'pandas')",2
"('image-segmentation', 'numpy')",2
"('feature-selection', 'numpy')",2
"('gradient-descent', 'overfitting')",2
"('finance', 'training')",2
"('implementation', 'pca')",2
"('derivation', 'mathematics')",2
"('elastic-net', 'linear-regression')",2
"('categorical-data', 'embeddings')",2
"('imbalanced-learn', 'scikit-learn')",2
"('imbalanced-learn', 'xgboost')",2
"('bert', 'representation')",2
"('softmax', 'training')",2
"('azure-ml', 'time-series')",2
"('algorithms', 'pytorch')",2
"('feature-selection', 'rmse')",2
"('categorical-encoding', 'data')",2
"('image-segmentation', 'k-means')",2
"('multi-output', 'optimization')",2
"('regression', 'unsupervised-learning')",2
"('huggingface', 'time-series')",2
"('bag-of-words', 'word-embeddings')",2
"('bag-of-words', 'word2vec')",2
"('data-science-model', 'research')",2
"('forecasting', 'overfitting')",2
"('ai', 'transformer')",2
"('attention-mechanism', 'gpt')",2
"('ensemble-modeling', 'feature-engineering')",2
"('ai', 'markov-process')",2
"('ai', 'reinforcement-learning')",2
"('probability', 'training')",2
"('gaussian', 'statistics')",2
"('data-leakage', 'stacking')",2
"('data-imputation', 'feature-extraction')",2
"('regularization', 'training')",2
"('image', 'neural-network')",2
"('data-analysis', 'feature-extraction')",2
"('tensorflow', 'tpu')",2
"('language-model', 'tensorflow')",2
"('image-preprocessing', 'reshape')",2
"('ensemble-modeling', 'gradient-boosting-decision-trees')",2
"('deep-learning', 'parsing')",2
"('data', 'data-product')",2
"('probability', 'regression')",2
"('lstm', 'rmse')",2
"('rmse', 'tensorflow')",2
"('classification', 'orange')",2
"('image-classification', 'orange')",2
"('feature-engineering', 'pattern-recognition')",2
"('learning', 'training')",2
"('loss', 'validation')",2
"('cnn', 'validation')",2
"('dataset', 'inference')",2
"('inference', 'pytorch')",2
"('mathematics', 'svm')",2
"('algorithms', 'mini-batch-gradient-descent')",2
"('monte-carlo', 'statistics')",2
"('plotting', 'rstudio')",2
"('elastic-search', 'search-engine')",2
"('colab', 'pandas')",2
"('colab', 'preprocessing')",2
"('bootstraping', 'sampling')",2
"('dataset', 'test')",2
"('natural-gradient-boosting', 'python')",2
"('computer-vision', 'vgg16')",2
"('convolutional-neural-network', 'ocr')",2
"('convolutional-neural-network', 'vgg16')",2
"('feature-extraction', 'model-selection')",2
"('bigdata', 'sampling')",2
"('ipython', 'jupyter')",2
"('deep-learning', 'windows')",2
"('lasso', 'pca')",2
"('convolutional-neural-network', 'mlp')",2
"('distribution', 'features')",2
"('graphs', 'tableau')",2
"('data-imputation', 'data-science-model')",2
"('powerbi', 'tableau')",2
"('model-selection', 'multilabel-classification')",2
"('learning-to-rank', 'recommender-system')",2
"('feature-selection', 'word-embeddings')",2
"('graphs', 'optimization')",2
"('data-analysis', 'interpretation')",2
"('convolution', 'scipy')",2
"('autoencoder', 'machine-translation')",2
"('feature-engineering', 'text-mining')",2
"('bert', 'search')",2
"('audio-recognition', 'time-series')",2
"('research', 'tensorflow')",2
"('faster-rcnn', 'training')",2
"('decision-trees', 'multilabel-classification')",2
"('gradient-descent', 'matlab')",2
"('accuracy', 'missing-data')",2
"('cnn', 'mlp')",2
"('convolution', 'efficiency')",2
"('dummy-variables', 'logistic-regression')",2
"('accuracy', 'confidence')",2
"('bayesian', 'inference')",2
"('gaussian', 'predictive-modeling')",2
"('probability', 'svm')",2
"('bert', 'text-generation')",2
"('computer-vision', 'distance')",2
"('algorithms', 'genetic-algorithms')",2
"('dataframe', 'sampling')",2
"('lstm', 'xgboost')",2
"('neural-network', 'simulation')",2
"('loss-function', 'random-forest')",2
"('early-stopping', 'training')",2
"('glm', 'machine-learning')",2
"('confusion-matrix', 'image-recognition')",2
"('normalization', 'predictive-modeling')",2
"('feature-extraction', 'missing-data')",2
"('data-mining', 'databases')",2
"('logistic-regression', 'smote')",2
"('anaconda', 'colab')",2
"('data-cleaning', 'hyperparameter-tuning')",2
"('class-imbalance', 'pipelines')",2
"('dataset', 'scipy')",2
"('machine-learning-model', 'sampling')",2
"('imbalanced-learn', 'oversampling')",2
"('imbalanced-learn', 'pipelines')",2
"('algorithms', 'gradient-descent')",2
"('information-retrieval', 'learning-to-rank')",2
"('forecasting', 'model-evaluations')",2
"('finance', 'predictive-modeling')",2
"('cloud', 'keras')",2
"('rnn', 'svm')",2
"('distribution', 'logarithmic')",2
"('gpu', 'optimization')",2
"('machine-learning-model', 'pickle')",2
"('logistic-regression', 'missing-data')",2
"('clustering', 'llm')",2
"('clustering', 'named-entity-recognition')",2
"('logarithmic', 'normalization')",2
"('data', 'interpretation')",2
"('data-science-model', 'interpretation')",2
"('catboost', 'random-forest')",2
"('dataset', 'open-source')",2
"('feature-selection', 'statsmodels')",2
"('ab-test', 'causalimpact')",2
"('ab-test', 'python')",2
"('accuracy', 'transfer-learning')",2
"('data-science-model', 'transfer-learning')",2
"('poisson', 'predictive-modeling')",2
"('accuracy', 'binary')",2
"('numpy', 'optimization')",2
"('dataset', 'terminology')",2
"('ai', 'convolutional-neural-network')",2
"('feature-selection', 'matlab')",2
"('encoder', 'rnn')",2
"('gbm', 'gradient-boosting-decision-trees')",2
"('gradient-boosting-decision-trees', 'objective-function')",2
"('lightgbm', 'objective-function')",2
"('linear-models', 'neural-network')",2
"('neural-network', 'probability-calibration')",2
"('outlier', 'random-forest')",2
"('probability', 'rnn')",2
"('convolutional-neural-network', 'feature-engineering')",2
"('federated-learning', 'keras')",2
"('decision-trees', 'normalization')",2
"('normalization', 'xgboost')",2
"('convolutional-neural-network', 'distance')",2
"('boosting', 'machine-learning-model')",2
"('linear-regression', 'missing-data')",2
"('dimensionality-reduction', 'encoding')",2
"('feature-selection', 'gradient-boosting-decision-trees')",2
"('sentiment-analysis', 'word-embeddings')",2
"('keras', 'text')",2
"('tensorflow', 'text')",2
"('cnn', 'speech-to-text')",2
"('python', 'speech-to-text')",2
"('binary', 'tensorflow')",2
"('class-imbalance', 'data-science-model')",2
"('cart', 'regression')",2
"('convolution', 'dropout')",2
"('convolution', 'pooling')",2
"('neural-network', 'plotting')",2
"('image-preprocessing', 'noise')",2
"('feature-construction', 'forecasting')",2
"('feature-engineering', 'tfidf')",2
"('class-imbalance', 'data-cleaning')",2
"('information-extraction', 'named-entity-recognition')",2
"('loss-function', 'unsupervised-learning')",2
"('deep-learning', 'xgboost')",2
"('statistics', 'tensorflow')",2
"('azure-ml', 'image-classification')",2
"('data', 'simulation')",2
"('numpy', 'r')",2
"('machine-translation', 'tensorflow')",2
"('graph-neural-network', 'representation')",2
"('naive-bayes-algorithim', 'python')",2
"('graphs', 'time-series')",2
"('concept-drift', 'data')",2
"('distribution', 'r')",2
"('bert', 'unsupervised-learning')",2
"('unsupervised-learning', 'word-embeddings')",2
"('c++', 'classification')",2
"('categorical-encoding', 'keras')",2
"('categorical-encoding', 'logistic-regression')",2
"('machine-learning-model', 'text-mining')",2
"('dataframe', 'pattern-recognition')",2
"('language-model', 'spacy')",2
"('document-term-matrix', 'text-classification')",2
"('actor-critic', 'deep-learning')",2
"('scikit-learn', 'sparse')",2
"('object-detection', 'prediction')",2
"('prediction', 'yolo')",2
"('dimensionality-reduction', 'r')",2
"('data-mining', 'ensemble-modeling')",2
"('computer-vision', 'fastai')",2
"('linear-regression', 'python-3.x')",2
"('deep-learning', 'similar-documents')",2
"('automatic-summarization', 'gpt')",2
"('classification', 'stacking')",2
"('feature-selection', 'visualization')",2
"('data-engineering', 'statistics')",2
"('audio-recognition', 'multiclass-classification')",2
"('similar-documents', 'text-mining')",2
"('multivariate-distribution', 'unsupervised-learning')",2
"('feature-scaling', 'mlp')",2
"('python', 'tools')",2
"('activation-function', 'feature-scaling')",2
"('activation-function', 'lstm')",2
"('bioinformatics', 'missing-data')",2
"('classification', 'fastai')",2
"('pretraining', 'python')",2
"('pretraining', 'pytorch')",2
"('graphs', 'pandas')",2
"('bokeh', 'visualization')",2
"('custom-layer', 'machine-learning-model')",2
"('nlp', 'spatial-transformer')",2
"('binary-classification', 'confusion-matrix')",2
"('kernel', 'spectral-clustering')",2
"('normalization', 'unsupervised-learning')",2
"('field-aware-factorization-machines', 'matrix-factorisation')",2
"('llm', 'search')",2
"('mathematics', 'matrix')",2
"('mean', 'sampling')",2
"('data-product', 'regression')",2
"('active-learning', 'annotation')",2
"('active-learning', 'nlp')",2
"('predictive-modeling', 'sampling')",2
"('field-aware-factorization-machines', 'recommender-system')",2
"('hashing-trick', 'scikit-learn')",2
"('causalimpact', 'machine-learning')",2
"('autoencoder', 'predictive-modeling')",2
"('gridsearchcv', 'pipelines')",2
"('online-learning', 'reinforcement-learning')",2
"('stanford-nlp', 'text-classification')",2
"('goodness-of-fit', 'statistics')",2
"('dirichlet', 'unsupervised-learning')",2
"('colab', 'image-classification')",2
"('image-preprocessing', 'text')",2
"('opencv', 'text')",2
"('model-evaluations', 'prediction')",2
"('autoencoder', 'data')",2
"('nlp', 'tools')",2
"('neural-network', 'pooling')",2
"('chatbot', 'language-model')",2
"('lda', 'scikit-learn')",2
"('churn', 'logistic-regression')",2
"('descriptive-statistics', 'variance')",2
"('bert', 'gpu')",2
"('data-cleaning', 'model-selection')",2
"('embeddings', 'gan')",2
"('gan', 'metric')",2
"('accuracy', 'pandas')",2
"('predict', 'prediction')",2
"('cosine-distance', 'deep-learning')",2
"('search', 'similarity')",2
"('hyperparameter-tuning', 'model-evaluations')",2
"('autoencoder', 'dataset')",2
"('deep-learning', 'sampling')",2
"('convolution', 'nlp')",2
"('roc', 'xgboost')",2
"('bag-of-words', 'tokenization')",2
"('classifier', 'cnn')",2
"('multitask-learning', 'pytorch')",2
"('colab', 'pip')",2
"('variance', 'weighted-data')",2
"('dimensionality-reduction', 'embeddings')",2
"('k-nn', 'predictive-modeling')",2
"('discounted-reward', 'reinforcement-learning')",2
"('pca', 'predictive-modeling')",2
"('dirichlet', 'lda')",2
"('dirichlet', 'topic-model')",2
"('decision-trees', 'marketing')",2
"('bert', 'supervised-learning')",2
"('data-augmentation', 'text-classification')",2
"('.net', 'keras')",2
"('.net', 'python')",2
"('pyspark', 'scikit-learn')",2
"('linear-regression', 'logarithmic')",2
"('logistic-regression', 'prediction')",2
"('ai', 'data')",2
"('graphs', 'inference')",2
"('graphs', 'knowledge-base')",2
"('cnn', 'data')",2
"('recommender-system', 'text-mining')",2
"('algorithms', 'kernel')",2
"('image', 'object-detection')",2
"('ensemble-modeling', 'overfitting')",2
"('data', 'probability')",2
"('pytorch', 'statistics')",2
"('classifier', 'predictive-modeling')",2
"('sampling', 'validation')",2
"('cross-validation', 'rmse')",2
"('loss-function', 'sgd')",2
"('optimization', 'sgd')",2
"('colab', 'jupyter')",2
"('corpus', 'tools')",2
"('pandas', 'sparse')",2
"('deep-learning', 'descriptive-statistics')",2
"('named-entity-recognition', 'recommender-system')",2
"('deep-learning', 'labelling')",2
"('binary-classification', 'performance')",2
"('deep-learning', 'time-complexity')",2
"('class-imbalance', 'gradient-boosting-decision-trees')",2
"('api', 'machine-learning')",2
"('apache-spark', 'data-science-model')",2
"('error-handling', 'model-evaluations')",2
"('keras', 'similarity')",2
"('similarity', 'tensorflow')",2
"('ocr', 'pytorch')",2
"('anova', 'correlation')",2
"('classification', 'marketing')",2
"('forecasting', 'python-3.x')",2
"('multilabel-classification', 'svm')",2
"('pattern-recognition', 'unsupervised-learning')",2
"('time-series', 'web-scraping')",2
"('embeddings', 'scikit-learn')",2
"('reinforcement-learning', 'time-series')",2
"('activation-function', 'optimization')",2
"('encoder', 'labels')",2
"('cosine-distance', 'siamese-networks')",2
"('dataset', 'feature-scaling')",2
"('interpretation', 'multiclass-classification')",2
"('statistics', 't-test')",2
"('categorical-data', 'visualization')",2
"('data-science-model', 'supervised-learning')",2
"('ann', 'classification')",2
"('ann', 'cnn')",2
"('bayesian-networks', 'hyperparameter-tuning')",2
"('bayesian-networks', 'python')",2
"('data-science-model', 'reshape')",2
"('reshape', 'tensorflow')",2
"('colab', 'nlp')",2
"('neural-network', 'online-learning')",2
"('preprocessing', 'topic-model')",2
"('dataframe', 'prediction')",2
"('ensemble-learning', 'random-forest')",2
"('finance', 'linear-regression')",2
"('bioinformatics', 'regression')",2
"('books', 'data-science-model')",2
"('correlation', 'exploratory-factor-analysis')",2
"('bigdata', 'nlp')",2
"('bert', 'loss-function')",2
"('computer-vision', 'gaussian')",2
"('machine-learning', 'twitter')",2
"('machine-learning-model', 'word2vec')",2
"('descriptive-statistics', 'mutual-information')",2
"('learning', 'nlp')",2
"('dataframe', 'missing-data')",2
"('hierarchical-data-format', 'k-means')",2
"('auc', 'f1score')",2
"('pattern-recognition', 'text-mining')",2
"('lda', 'recommender-system')",2
"('research', 'time-series')",2
"('f1score', 'training')",2
"('overfitting', 'self-driving')",2
"('clustering', 'semi-supervised-learning')",2
"('python', 'semi-supervised-learning')",2
"('encoder', 'scikit-learn')",2
"('clustering', 'gpu')",2
"('naive-bayes-classifier', 'statistics')",2
"('gradient-descent', 'linear-algebra')",2
"('mlp', 'overfitting')",2
"('multivariate-distribution', 'scipy')",2
"('feature-scaling', 'svm')",2
"('ensemble-learning', 'meta-learning')",2
"('ensemble-modeling', 'meta-learning')",2
"('convolutional-neural-network', 'noise')",2
"('image', 'noise')",2
"('python', 'recurrent-neural-network')",2
"('data-mining', 'gpt')",2
"('jupyter', 'pytorch')",2
"('dataset', 'sas')",2
"('binary', 'dimensionality-reduction')",2
"('dataset', 'gaussian')",2
"('distribution', 'text')",2
"('distance', 'regression')",2
"('cross-validation', 'numpy')",2
"('text-mining', 'transformer')",2
"('classification', 'few-shot-learning')",2
"('nlp', 'stemming')",2
"('machine-learning', 'svr')",2
"('pandas', 'similarity')",2
"('hyperparameter', 'keras')",2
"('hyperparameter', 'tensorflow')",2
"('monte-carlo', 'simulation')",2
"('logistic-regression', 'mlp')",2
"('python', 'stemming')",2
"('hyperparameter-tuning', 'word-embeddings')",2
"('chatbot', 'deep-learning')",2
"('f1score', 'nlp')",2
"('time-series', 'transformation')",2
"('categorical-encoding', 'labels')",2
"('encoding', 'labels')",2
"('correlation', 'distance')",2
"('anonymization', 'python')",2
"('anomaly-detection', 'cnn')",2
"('reshape', 'time-series')",2
"('overfitting', 'sampling')",2
"('decision-trees', 'feature-construction')",2
"('anomaly-detection', 'training')",2
"('pca', 'spectral-clustering')",2
"('lstm', 'object-detection')",2
"('language-model', 'pytorch')",2
"('corpus', 'word-embeddings')",2
"('memory', 'pipelines')",2
"('pipelines', 'scala')",2
"('scala', 'time-series')",2
"('anomaly', 'statistics')",2
"('clustering', 'data-engineering')",2
"('logistic-regression', 'sgd')",2
"('boosting', 'ensemble')",2
"('classification', 'spectral-clustering')",2
"('features', 'svm')",2
"('model-evaluations', 'semantic-similarity')",2
"('data-science-model', 'probability-calibration')",2
"('metric', 'r')",2
"('chatbot', 'data-mining')",2
"('python', 'torchvision')",2
"('ensemble', 'stacking')",2
"('hypothesis-testing', 'random-forest')",2
"('model-evaluations', 'svm')",2
"('feature-scaling', 'lasso')",2
"('project-planning', 'python')",2
"('logistic-regression', 'parameter-estimation')",2
"('spacy', 'text-mining')",2
"('computer-vision', 'pandas')",2
"('cnn', 'colab')",2
"('google', 'tensorflow')",2
"('data-analysis', 'rstudio')",2
"('data', 'text-generation')",2
"('feature-importances', 'features')",2
"('dataframe', 'dplyr')",2
"('discriminant-analysis', 'machine-learning')",2
"('attention-mechanism', 'language-model')",2
"('context-vector', 'transformer')",2
"('prediction', 'validation')",2
"('multivariate-distribution', 'pandas')",2
"('audio-recognition', 'unsupervised-learning')",2
"('hashing-trick', 'machine-learning')",2
"('gradient-descent', 'scikit-learn')",2
"('chi-square-test', 'one-hot-encoding')",2
"('data-cleaning', 'transformer')",2
"('convolution', 'correlation')",2
"('convolution', 'mathematics')",2
"('correlation', 'deep-learning')",2
"('features', 'training')",2
"('sequence-to-sequence', 'sequential-pattern-mining')",2
"('bigdata', 'computer-vision')",2
"('feature-selection', 'pipelines')",2
"('data-science-model', 'stacking')",2
"('association-rules', 'multiclass-classification')",2
"('keras', 'meta-learning')",2
"('k-nn', 'text-classification')",2
"('convolutional-neural-network', 'regularization')",2
"('data-augmentation', 'preprocessing')",2
"('nlp', 'zero-shot-learning')",2
"('text-classification', 'zero-shot-learning')",2
"('goodness-of-fit', 'scikit-learn')",2
"('data-table', 'sql')",2
"('embeddings', 'generative-models')",2
"('feature-extraction', 'mutual-information')",2
"('meta-learning', 'python')",2
"('dataset', 'performance')",2
"('mlp', 'tensorflow')",2
"('anomaly-detection', 'auc')",2
"('generative-models', 'information-retrieval')",2
"('heatmap', 'matplotlib')",2
"('data-engineering', 'data-formats')",2
"('data-engineering', 'dataset')",2
"('dataset', 'processing')",2
"('encoding', 'features')",2
"('explainable-ai', 'logistic-regression')",2
"('f1score', 'loss-function')",2
"('python', 'tableau')",2
"('image-classification', 'pca')",2
"('pca', 'python-3.x')",2
"('machine-learning', 'self-driving')",2
"('convolutional-neural-network', 'efficiency')",2
"('gan', 'image-generation')",2
"('aggregation', 'ranking')",2
"('correlation', 'mathematics')",2
"('overfitting', 'r')",2
"('audio-recognition', 'k-nn')",2
"('k-nn', 'unsupervised-learning')",2
"('glm', 'xgboost')",2
"('data-augmentation', 'regularization')",2
"('apache-spark', 'categorical-data')",2
"('deep-learning', 'shap')",2
